R_fighter,B_fighter,R_prob,B_prob
Colby Covington,Tyron Woodley,0.5,0.5
Donald Cerrone,Niko Price,0.5,0.5
Khamzat Chimaev,Gerald Meerschaert,0.5,0.5
Johnny Walker,Ryan Spann,0.5,0.5
Mackenzie Dern,Randa Markos,0.5,0.5
Kevin Holland,Darren Stewart,0.5,0.5
Jordan Espinosa,David Dvorak,0.5,0.5
Mirsad Bektic,Damon Jackson,0.5,0.5
Mayra Bueno Silva,Mara Romero Borella,0.5,0.5
Jessica-Rose Clark,Sarah Alpar,0.5,0.5
Darrick Minner,TJ Laramie,0.5,0.5
Journey Newson,Randy Costa,0.5,0.5
Andre Ewell,Irwin Rivera,0.5,0.5
Tyson Nam,Jerome Rivera,0.5,0.5
