R_fighter,B_fighter,R_prob,B_prob
Anthony Smith,Aleksandar Rakic,0.4822,0.5178
Robbie Lawler,Neil Magny,0.1201,0.8799
Ji Yeon Kim,Alexa Grasso,0.2091,0.7909
Ricardo Lamas,Bill Algeo,0.9161,0.0839
Magomed Ankalaev,Ion Cutelaba,0.7914,0.2086
Maki Pitolo,Impa Kasanganay,0.5749,0.4251
Mallory Martin,Hannah Cifers,0.9027,0.0973
Alessio Di Chirico,Zak Cummings,0.4579,0.5421
Alex Caceres,Austin Springer,0.1042,0.8958
Polyana Viana,Emily Whitmire,0.6664,0.3336
Sean Brady,Christian Aguilera,0.8704,0.1296
