R_fighter,B_fighter,R_odds,B_odds,R_ev,B_ev,date,location,country,Winner,title_bout,weight_class,gender,no_of_rounds,B_current_lose_streak,B_current_win_streak,B_draw,B_avg_SIG_STR_landed,B_avg_SIG_STR_pct,B_avg_SUB_ATT,B_avg_TD_landed,B_avg_TD_pct,B_longest_win_streak,B_losses,B_total_rounds_fought,B_total_title_bouts,B_win_by_Decision_Majority,B_win_by_Decision_Split,B_win_by_Decision_Unanimous,B_win_by_KO/TKO,B_win_by_Submission,B_win_by_TKO_Doctor_Stoppage,B_wins,B_Stance,B_Height_cms,B_Reach_cms,B_Weight_lbs,R_current_lose_streak,R_current_win_streak,R_draw,R_avg_SIG_STR_landed,R_avg_SIG_STR_pct,R_avg_SUB_ATT,R_avg_TD_landed,R_avg_TD_pct,R_longest_win_streak,R_losses,R_total_rounds_fought,R_total_title_bouts,R_win_by_Decision_Majority,R_win_by_Decision_Split,R_win_by_Decision_Unanimous,R_win_by_KO/TKO,R_win_by_Submission,R_win_by_TKO_Doctor_Stoppage,R_wins,R_Stance,R_Height_cms,R_Reach_cms,R_Weight_lbs,R_age,B_age,lose_streak_dif,win_streak_dif,longest_win_streak_dif,win_dif,loss_dif,total_round_dif,total_title_bout_dif,ko_dif,sub_dif,height_dif,reach_dif,age_dif,sig_str_dif,avg_sub_att_dif,avg_td_dif,empty_arena,constant_1,B_match_weightclass_rank,R_match_weightclass_rank,R_Women's Flyweight_rank,R_Women's Featherweight_rank,R_Women's Strawweight_rank,R_Women's Bantamweight_rank,R_Heavyweight_rank,R_Light Heavyweight_rank,R_Middleweight_rank,R_Welterweight_rank,R_Lightweight_rank,R_Featherweight_rank,R_Bantamweight_rank,R_Flyweight_rank,R_Pound-for-Pound_rank,B_Women's Flyweight_rank,B_Women's Featherweight_rank,B_Women's Strawweight_rank,B_Women's Bantamweight_rank,B_Heavyweight_rank,B_Light Heavyweight_rank,B_Middleweight_rank,B_Welterweight_rank,B_Lightweight_rank,B_Featherweight_rank,B_Bantamweight_rank,B_Flyweight_rank,B_Pound-for-Pound_rank,better_rank,finish,finish_details,finish_round,finish_round_time,total_fight_time_secs,r_dec_odds,b_dec_odds,r_sub_odds,b_sub_odds,r_ko_odds,b_ko_odds
Cory Sandhagen,TJ Dillashaw,-210,+175,47.61904761904761,+175,2021-07-24,"Las Vegas, Nevada, USA",USA,Blue,False,Bantamweight,MALE,5,1,0,0,5.26,0.41,0.8,1.63,0.3,4,4,43,7,0,0,4,7,1,0,12,Orthodox,167.64,170.18,135,0,2,0,6.32,0.47,0.6,0.74,0.44,5,1,15,0,0,1,1,4,1,0,7,Switch,180.34,177.8,135,29,35,1,-2,-1,5,3,28,7,3,0,-12.699999999999989,-7.620000000000003,6,-1.0600000000000005,0.2,0.8899999999999999,1,1,,2.0,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,Red,S-DEC,,5,5:00,1500,+500,+500,+600,+1100,+110,+400
Kyler Phillips,Raulian Paiva,-320,+250,31.25,+250,2021-07-24,"Las Vegas, Nevada, USA",USA,Blue,False,Bantamweight,MALE,3,0,2,0,4.24,0.43,0.2,0.62,0.27,2,2,12,0,0,1,1,1,0,0,3,Orthodox,172.72,175.26,125,0,4,0,5.2,0.49,0.3,3.2,0.55,4,0,9,0,0,0,2,2,0,0,4,Orthodox,172.72,182.88,135,26,25,0,-2,-2,-1,2,3,0,-1,0,0.0,-7.620000000000003,-1,-0.96,-0.0999999999999999,-2.58,1,1,,14.0,,,,,,,,,,,14.0,,,,,,,,,,,,,,12.0,,Red,M-DEC,,3,5:00,900,-125,+500,+1000,+1000,+400,+900
Darren Elkins,Darrick Minner,+130,-155,+130,64.51612903225806,2021-07-24,"Las Vegas, Nevada, USA",USA,Red,False,Featherweight,MALE,3,0,2,0,2.96,0.66,4.0,3.11,0.7,2,2,7,0,0,0,1,0,1,0,2,Orthodox,170.18,175.26,145,0,1,0,3.46,0.38,1.1,2.67,0.33,6,8,60,0,0,2,8,3,2,0,15,Orthodox,177.8,180.34,145,37,31,0,1,-4,-13,-6,-53,0,-3,-1,-7.620000000000003,-5.0800000000000125,-6,-0.5,2.9,0.4399999999999999,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,KO/TKO,Punches,2,3:48,528,+275,+250,+600,+240,+800,+600
Miranda Maverick,Maycee Barber,-155,+135,64.51612903225806,+135,2021-07-24,"Las Vegas, Nevada, USA",USA,Blue,False,Women's Flyweight,FEMALE,3,2,0,0,4.67,0.49,0.2,1.36,0.33,4,2,14,0,0,0,0,4,0,0,4,Switch,165.1,165.1,125,0,2,0,4.77,0.43,0.0,1.71,0.8,2,0,4,0,0,0,1,1,0,0,2,Southpaw,160.02,165.1,125,24,23,2,-2,2,2,2,10,0,3,0,5.079999999999984,0.0,-1,-0.0999999999999996,0.2,-0.3499999999999998,1,1,14.0,15.0,15.0,,,,,,,,,,,,,14.0,,,,,,,,,,,,,Blue,S-DEC,,3,5:00,900,+120,+275,+650,+1400,+750,+450
Adrian Yanez,Randy Costa,-240,+195,41.66666666666667,+195,2021-07-24,"Las Vegas, Nevada, USA",USA,Red,False,Bantamweight,MALE,3,0,2,0,8.64,0.46,0.0,0.0,0.0,2,1,4,0,0,0,0,2,0,0,2,Switch,175.26,185.42,135,0,3,0,6.13,0.38,0.0,0.0,0.0,3,0,5,0,0,0,0,3,0,0,3,Orthodox,170.18,177.8,135,27,27,0,-1,-1,-1,1,-1,0,-1,0,5.079999999999984,7.620000000000003,0,2.5100000000000007,0.0,0.0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,KO/TKO,Punches,2,2:11,431,+380,+500,+1100,+1600,-110,+450
Punahele Soriano,Brendan Allen,-110,-110,90.9090909090909,90.9090909090909,2021-07-24,"Las Vegas, Nevada, USA",USA,Blue,False,Middleweight,MALE,3,0,1,0,4.1,0.52,1.6,1.29,0.45,4,1,10,0,0,0,1,1,3,0,5,Orthodox,187.96,190.5,185,0,3,0,4.44,0.43,0.0,1.58,0.66,3,0,5,0,0,0,1,2,0,0,3,Southpaw,180.34,182.88,185,28,25,0,-2,1,2,1,5,0,-1,3,7.620000000000003,7.620000000000003,-3,-0.3400000000000007,1.6,-0.29,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,U-DEC,,3,5:00,900,+500,+500,+1400,+200,+140,+1000
Nassourdine Imavov,Ian Heinisch,+135,-155,+135,64.51612903225806,2021-07-24,"Las Vegas, Nevada, USA",USA,Red,False,Middleweight,MALE,3,1,0,0,3.25,0.5,0.7,1.02,0.17,3,3,17,0,0,0,2,2,0,0,4,Orthodox,180.34,182.88,185,1,0,0,4.3,0.54,1.6,0.79,0.22,1,1,6,0,0,0,1,0,0,0,1,Orthodox,190.5,190.5,185,26,32,0,0,2,3,2,11,0,2,0,-10.159999999999997,-7.620000000000003,6,-1.0499999999999998,-0.9000000000000001,0.2299999999999999,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,KO/TKO,Punches,2,3:09,489,+275,+120,+1100,+800,+550,+550
Mickey Gall,Jordan Williams,+150,-170,+150,58.82352941176471,2021-07-24,"Las Vegas, Nevada, USA",USA,Red,False,Welterweight,MALE,3,1,0,0,5.97,0.5,0.0,1.23,0.57,1,2,10,0,0,0,0,1,0,0,1,Southpaw,185.42,190.5,185,1,0,0,2.6,0.46,2.4,1.32,0.28,3,3,16,0,0,0,1,0,4,0,5,Switch,187.96,187.96,170,29,30,0,0,-2,-4,-1,-6,0,1,-4,-2.539999999999992,2.539999999999992,1,3.37,-2.4,-0.09,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,SUB,Rear Naked Choke,1,2:57,177,+400,+215,+350,+1400,+1100,+175
Julio Arce,Andre Ewell,-220,+180,45.45454545454545,+180,2021-07-24,"Las Vegas, Nevada, USA",USA,Red,False,Bantamweight,MALE,3,1,0,0,4.35,0.41,0.1,0.27,0.66,2,3,21,0,0,3,1,0,0,0,4,Southpaw,172.72,190.5,135,1,0,0,4.31,0.36,0.5,0.52,0.3,3,2,17,0,0,0,1,2,1,0,4,Southpaw,170.18,177.8,145,31,33,0,0,-1,0,1,4,0,-2,-1,2.539999999999992,12.699999999999989,2,0.04,-0.4,-0.25,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,KO/TKO,Punches,2,3:45,525,+120,+275,+450,+1600,+500,+900
Sijara Eubanks,Elise Reed,-410,+310,24.390243902439025,+310,2021-07-24,"Las Vegas, Nevada, USA",USA,Red,False,Women's Flyweight,FEMALE,3,0,0,0,0.26,0.25,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,Orthodox,160.02,160.02,125,2,0,0,4.56,0.43,0.4,1.94,0.47,2,4,24,0,0,0,4,0,0,0,4,Orthodox,162.56,170.18,135,36,28,-2,0,-2,-4,-4,-24,0,0,0,-2.539999999999992,-10.159999999999997,-8,-4.3,-0.4,-1.94,1,1,,,,,,13.0,,,,,,,,,,,,,,,,,,,,,,,neither,KO/TKO,Punches,1,3:49,229,+110,+600,+350,+1600,+300,+1000
Diana Belbita,Hannah Goldy,-120,+100,83.33333333333334,+100,2021-07-24,"Las Vegas, Nevada, USA",USA,Red,False,Women's Strawweight,FEMALE,3,1,0,0,6.4,0.47,0.0,0.67,0.33,1,1,6,0,0,0,1,0,0,0,1,Orthodox,162.56,154.94,125,2,0,0,6.72,0.46,0.0,0.92,0.66,0,2,4,0,0,0,0,0,0,0,0,Orthodox,170.18,172.72,125,25,29,-1,0,1,1,-1,2,0,0,0,-7.620000000000003,-17.78,4,-0.3199999999999994,0.0,-0.25,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,U-DEC,,3,5:00,900,+165,+165,+650,+1000,+750,+700
