R_fighter,B_fighter,R_odds,B_odds,R_ev,B_ev,date,location,country,Winner,title_bout,weight_class,gender,no_of_rounds,B_current_lose_streak,B_current_win_streak,B_draw,B_avg_SIG_STR_landed,B_avg_SIG_STR_pct,B_avg_SUB_ATT,B_avg_TD_landed,B_avg_TD_pct,B_longest_win_streak,B_losses,B_total_rounds_fought,B_total_title_bouts,B_win_by_Decision_Majority,B_win_by_Decision_Split,B_win_by_Decision_Unanimous,B_win_by_KO/TKO,B_win_by_Submission,B_win_by_TKO_Doctor_Stoppage,B_wins,B_Stance,B_Height_cms,B_Reach_cms,B_Weight_lbs,R_current_lose_streak,R_current_win_streak,R_draw,R_avg_SIG_STR_landed,R_avg_SIG_STR_pct,R_avg_SUB_ATT,R_avg_TD_landed,R_avg_TD_pct,R_longest_win_streak,R_losses,R_total_rounds_fought,R_total_title_bouts,R_win_by_Decision_Majority,R_win_by_Decision_Split,R_win_by_Decision_Unanimous,R_win_by_KO/TKO,R_win_by_Submission,R_win_by_TKO_Doctor_Stoppage,R_wins,R_Stance,R_Height_cms,R_Reach_cms,R_Weight_lbs,R_age,B_age,lose_streak_dif,win_streak_dif,longest_win_streak_dif,win_dif,loss_dif,total_round_dif,total_title_bout_dif,ko_dif,sub_dif,height_dif,reach_dif,age_dif,sig_str_dif,avg_sub_att_dif,avg_td_dif,empty_arena,constant_1,B_match_weightclass_rank,R_match_weightclass_rank,R_Women's Flyweight_rank,R_Women's Featherweight_rank,R_Women's Strawweight_rank,R_Women's Bantamweight_rank,R_Heavyweight_rank,R_Light Heavyweight_rank,R_Middleweight_rank,R_Welterweight_rank,R_Lightweight_rank,R_Featherweight_rank,R_Bantamweight_rank,R_Flyweight_rank,R_Pound-for-Pound_rank,B_Women's Flyweight_rank,B_Women's Featherweight_rank,B_Women's Strawweight_rank,B_Women's Bantamweight_rank,B_Heavyweight_rank,B_Light Heavyweight_rank,B_Middleweight_rank,B_Welterweight_rank,B_Lightweight_rank,B_Featherweight_rank,B_Bantamweight_rank,B_Flyweight_rank,B_Pound-for-Pound_rank,better_rank,finish,finish_details,finish_round,finish_round_time,total_fight_time_secs,R_kd_bout,B_kd_bout,R_sig_str_landed_bout,B_sig_str_landed_bout,R_sig_str_attempted_bout,B_sig_str_attempted_bout,R_sig_str_pct_bout,B_sig_str_pct_bout,R_tot_str_landed_bout,B_tot_str_landed_bout,R_tot_str_attempted_bout,B_tot_str_attempted_bout,R_td_landed_bout,B_td_landed_bout,R_td_attempted_bout,B_td_attempted_bout,R_td_pct_bout,B_td_pct_bout,R_sub_attempts_bout,B_sub_attempts_bout,R_pass_bout,B_pass_bout,R_rev_bout,B_rev_bout
Michelle Waterson,Angela Hill,105,-125,105,80,9/12/2020,"Las Vegas, Nevada, USA",USA,Red,FALSE,Women's Strawweight,FEMALE,5,1,0,0,5.76,0.49,0.2,0.47,0.37,3,8,40,0,0,0,5,2,0,0,7,Orthodox,160.02,162.56,115,2,0,0,3.31,0.52,1.1,1.68,0.5,4,4,31,0,0,1,2,0,4,0,7,Orthodox,160.02,157.48,115,34,35,-1,0,-1,0,4,9,0,2,-4,0,5.08,1,2.45,-0.9,-1.21,1,1,13,8,,,8,,,,,,,,,,,,,13,,,,,,,,,,,Red,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ottman Azaitar,Khama Worthy,110,-137,110,72.99270073,9/12/2020,"Las Vegas, Nevada, USA",USA,Red,FALSE,Lightweight,MALE,3,0,2,0,4.44,0.5,0.9,0,0,2,0,4,0,0,0,0,1,1,0,2,Orthodox,180.34,187.96,155,0,1,0,7.61,0.5,0,0,0,1,0,1,0,0,0,0,1,0,0,1,Switch,172.72,180.34,155,30,33,0,1,1,1,0,3,0,0,1,7.62,7.62,3,-3.17,0.9,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Roxanne Modafferi,Andrea Lee,240,-335,240,29.85074627,9/12/2020,"Las Vegas, Nevada, USA",USA,Red,FALSE,Women's Flyweight,FEMALE,3,2,0,0,5.4,0.48,0.6,1.4,0.38,3,2,15,0,0,0,3,0,0,0,3,Orthodox,167.64,175.26,125,1,0,0,3.04,0.3,0.1,1.29,0.21,1,7,29,2,0,1,1,1,0,0,3,Orthodox,170.18,175.26,125,37,31,1,0,2,0,-5,-14,-2,-1,0,-2.54,0,-6,2.36,0.5,0.11,1,1,9,8,8,,,,,,,,,,,,,9,,,,,,,,,,,,,Red,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ed Herman,Mike Rodriguez,195,-250,195,40,9/12/2020,"Las Vegas, Nevada, USA",USA,Red,FALSE,Light Heavyweight,MALE,3,0,1,0,4.59,0.54,0,0,0,1,2,9,0,0,0,0,2,0,0,2,Southpaw,193.04,208.28,205,0,2,0,3.33,0.49,1.2,2.2,0.48,3,11,52,1,0,1,3,4,4,0,12,Orthodox,185.42,195.58,205,39,31,0,-1,-2,-10,-9,-43,-1,-2,-4,7.62,12.7,-8,1.26,-1.2,-2.2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Billy Quarantillo,Kyle Nelson,-250,195,40,195,9/12/2020,"Las Vegas, Nevada, USA",USA,Red,FALSE,Featherweight,MALE,3,0,1,0,2.73,0.36,2.8,1.41,0.16,1,2,6,0,0,0,0,1,0,0,1,Switch,180.34,180.34,155,0,2,0,7.43,0.79,3.1,1.34,0.42,2,0,5,0,0,0,1,0,1,0,2,Orthodox,177.8,177.8,145,31,29,0,-1,-1,-1,2,1,0,1,-1,2.54,2.54,-2,-4.7,-0.3,0.07,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Julia Avila,Sijara Eubanks,-305,230,32.78688525,230,9/12/2020,"Las Vegas, Nevada, USA",USA,Blue,FALSE,Women's Bantamweight,FEMALE,3,0,1,0,4.95,0.41,0,2,0.5,2,2,15,0,0,0,3,0,0,0,3,Orthodox,162.56,170.18,135,0,2,0,3.9,0.42,0,0,0,2,0,4,0,0,0,1,1,0,0,2,Orthodox,170.18,172.72,135,32,35,0,-1,0,1,2,11,0,-1,0,-7.62,-2.54,3,1.05,0,2,1,1,15,14,,,,14,,,,,,,,,,,,,15,,,,,,,,,,Red,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Roosevelt Roberts,Kevin Croom,-385,286,25.97402597,286,9/12/2020,"Las Vegas, Nevada, USA",USA,Blue,FALSE,Lightweight,MALE,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Orthodox,180.34,185.42,155,1,0,0,3.02,0.49,1.1,1.77,0.57,2,2,13,0,0,0,2,0,2,0,4,Orthodox,187.96,185.42,155,26,33,-1,0,-2,-4,-2,-13,0,0,-2,-7.62,0,7,-3.02,-1.1,-1.77,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alexandr Romanov,Roque Martinez,-360,275,27.77777778,275,9/12/2020,"Las Vegas, Nevada, USA",USA,Red,FALSE,Heavyweight,MALE,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Orthodox,177.8,177.8,250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Southpaw,187.96,190.5,262,29,34,0,0,0,0,0,0,0,0,0,-10.16,-12.7,5,0,0,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bobby Green,Alan Patrick,-295,227,33.89830508,227,9/12/2020,"Las Vegas, Nevada, USA",USA,Red,FALSE,Lightweight,MALE,3,1,0,0,1.88,0.43,0.4,3.92,0.4,3,2,18,0,0,0,4,1,0,0,5,Southpaw,180.34,187.96,155,0,2,1,5.22,0.5,0.4,1.33,0.36,8,7,50,0,0,2,5,1,3,0,11,Orthodox,177.8,180.34,155,34,37,1,-2,-5,-6,-5,-32,0,0,-3,2.54,7.62,3,-3.34,0,2.59,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brok Weaver,Jalin Turner,306,-420,306,23.80952381,9/12/2020,"Las Vegas, Nevada, USA",USA,Blue,FALSE,Catch Weight,MALE,3,0,1,0,5.95,0.48,1.8,0.46,0.5,1,2,7,0,0,0,0,2,0,0,2,Southpaw,190.5,195.58,155,1,0,0,4.37,0.62,0.6,0,0,1,1,3,0,0,0,0,0,0,0,1,Southpaw,182.88,185.42,155,28,25,-1,1,0,1,1,4,0,2,0,7.62,10.16,-3,1.58,1.2,0.46,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
