,R_fighter,B_fighter,R_prob,B_prob
0,Jairzinho Rozenstruik,Augusto Sakai,0.5,0.5
1,Walt Harris,Marcin Tybura,0.5,0.5
2,Roman Dolidze,Laureano Staropoli,0.5,0.5
3,Santiago Ponzinibbio,Miguel Baeza,0.5,0.5
4,Dusko Todorovic,Gregory Rodrigues,0.5,0.5
5,Tom Breese,Antonio Arroyo,0.5,0.5
6,Makwan Amirkhani,Kamuela Kirk,0.5,0.5
7,Montana De La Rosa,Ariane Lipski,0.5,0.5
8,Tanner Boser,Ilir Latifi,0.5,0.5
9,Francisco Trinaldo,Muslim Salikhov,0.5,0.5
10,Alan Patrick,Mason Jones,0.5,0.5
11,Manon Fiorot,Maryna Moroz,0.5,0.5
12,Sean Woodson,Youssef Zalal,0.5,0.5
13,Claudio Puelles,Jordan Leavitt,0.5,0.5
