R_fighter,B_fighter,R_odds,B_odds,R_ev,B_ev,date,location,country,Winner,title_bout,weight_class,gender,no_of_rounds,B_current_lose_streak,B_current_win_streak,B_draw,B_avg_SIG_STR_landed,B_avg_SIG_STR_pct,B_avg_SUB_ATT,B_avg_TD_landed,B_avg_TD_pct,B_longest_win_streak,B_losses,B_total_rounds_fought,B_total_title_bouts,B_win_by_Decision_Majority,B_win_by_Decision_Split,B_win_by_Decision_Unanimous,B_win_by_KO/TKO,B_win_by_Submission,B_win_by_TKO_Doctor_Stoppage,B_wins,B_Stance,B_Height_cms,B_Reach_cms,B_Weight_lbs,R_current_lose_streak,R_current_win_streak,R_draw,R_avg_SIG_STR_landed,R_avg_SIG_STR_pct,R_avg_SUB_ATT,R_avg_TD_landed,R_avg_TD_pct,R_longest_win_streak,R_losses,R_total_rounds_fought,R_total_title_bouts,R_win_by_Decision_Majority,R_win_by_Decision_Split,R_win_by_Decision_Unanimous,R_win_by_KO/TKO,R_win_by_Submission,R_win_by_TKO_Doctor_Stoppage,R_wins,R_Stance,R_Height_cms,R_Reach_cms,R_Weight_lbs,R_age,B_age,lose_streak_dif,win_streak_dif,longest_win_streak_dif,win_dif,loss_dif,total_round_dif,total_title_bout_dif,ko_dif,sub_dif,height_dif,reach_dif,age_dif,sig_str_dif,avg_sub_att_dif,avg_td_dif,empty_arena,constant_1,B_match_weightclass_rank,R_match_weightclass_rank,R_Women's Flyweight_rank,R_Women's Featherweight_rank,R_Women's Strawweight_rank,R_Women's Bantamweight_rank,R_Heavyweight_rank,R_Light Heavyweight_rank,R_Middleweight_rank,R_Welterweight_rank,R_Lightweight_rank,R_Featherweight_rank,R_Bantamweight_rank,R_Flyweight_rank,R_Pound-for-Pound_rank,B_Women's Flyweight_rank,B_Women's Featherweight_rank,B_Women's Strawweight_rank,B_Women's Bantamweight_rank,B_Heavyweight_rank,B_Light Heavyweight_rank,B_Middleweight_rank,B_Welterweight_rank,B_Lightweight_rank,B_Featherweight_rank,B_Bantamweight_rank,B_Flyweight_rank,B_Pound-for-Pound_rank,better_rank,finish,finish_details,finish_round,finish_round_time,total_fight_time_secs,R_kd_bout,B_kd_bout,R_sig_str_landed_bout,B_sig_str_landed_bout,R_sig_str_attempted_bout,B_sig_str_attempted_bout,R_sig_str_pct_bout,B_sig_str_pct_bout,R_tot_str_landed_bout,B_tot_str_landed_bout,R_tot_str_attempted_bout,B_tot_str_attempted_bout,R_td_landed_bout,B_td_landed_bout,R_td_attempted_bout,B_td_attempted_bout,R_td_pct_bout,B_td_pct_bout,R_sub_attempts_bout,B_sub_attempts_bout,R_pass_bout,B_pass_bout,R_rev_bout,B_rev_bout
Kamaru Usman,Gilbert Burns,-278,228,35.97122302,228,2/13/2021,"Las Vegas, Nevada, USA",USA,,TRUE,Welterweight,MALE,5,0,6,0,3.15,0.46,0.7,2.21,0.37,6,3,36,0,0,0,5,3,4,0,12,Orthodox,177.8,180.34,170,0,12,0,4.5,0.53,0.1,3.38,0.47,12,0,43,3,0,0,9,2,1,0,12,Switch,182.88,193.04,170,33,34,0,-6,-6,0,3,-7,-3,1,3,-5.08,-12.7,1,-1.35,0.6,-1.17,1,1,1,0,,,,,,,,0,,,,,5,,,,,,,,1,,,,,,Red,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maycee Barber,Alexa Grasso,-107,-107,93.45794393,93.45794393,2/13/2021,"Las Vegas, Nevada, USA",USA,,FALSE,Women's Flyweight,FEMALE,3,0,1,0,5.35,0.42,0.5,0.32,0.4,1,3,19,0,0,1,3,0,0,0,4,Orthodox,165.1,167.64,125,1,0,0,6.02,0.6,0.3,0.95,0.3,4,1,11,0,0,0,0,4,0,0,4,Switch,165.1,165.1,125,22,27,-1,1,-3,0,2,8,0,-4,0,0,2.54,5,-0.67,0.2,-0.63,1,1,15,10,10,,,,,,,,,,,,,15,,,,,,,,,,,,,Red,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kelvin Gastelum,Ian Heinisch,-205,174,48.7804878,174,2/13/2021,"Las Vegas, Nevada, USA",USA,,FALSE,Middleweight,MALE,3,0,1,0,3.62,0.52,0.5,1.16,0.19,3,2,14,0,0,0,2,2,0,0,4,Orthodox,180.34,182.88,185,3,0,0,3.72,0.43,0.1,0.87,0.37,5,6,44,1,0,3,2,3,2,0,10,Southpaw,175.26,180.34,185,29,32,-3,1,-2,-6,-4,-30,-1,-1,-2,5.08,2.54,3,-0.1,0.4,0.29,1,1,15,9,,,,,,,9,,,,,,,,,,,,,15,,,,,,,Red,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ricky Simon,Brian Kelleher,-253,210,39.5256917,210,2/13/2021,"Las Vegas, Nevada, USA",USA,,FALSE,Featherweight,MALE,3,0,1,0,4.45,0.4,0.8,1.2,0.25,2,4,19,0,0,0,1,2,3,0,6,Switch,167.64,167.64,145,0,2,0,3.09,0.42,0.3,7.07,0.53,4,2,21,0,0,2,2,1,1,0,6,Orthodox,167.64,175.26,135,28,34,0,-1,-2,0,2,-2,0,1,2,0,-7.62,6,1.36,0.5,-5.87,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maki Pitolo,Julian Marquez,145,-177,145,56.49717514,2/13/2021,"Las Vegas, Nevada, USA",USA,,FALSE,Middleweight,MALE,3,1,0,0,3.8,0.4,3,0,0,2,1,7,0,0,0,0,1,1,0,2,Orthodox,187.96,182.88,185,2,0,0,4.87,0.43,0.4,1.45,0.66,1,3,10,0,0,0,0,2,0,0,2,Orthodox,177.8,190.5,185,30,30,-1,0,1,0,-2,-3,0,-1,1,10.16,-7.62,0,-1.07,2.6,-1.45,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rodolfo Vieira,Anthony Hernandez,-487,365,20.5338809,365,2/13/2021,"Las Vegas, Nevada, USA",USA,,FALSE,Middleweight,MALE,3,1,0,0,5.03,0.53,0.9,5.27,0.66,1,2,6,0,0,0,0,0,1,0,1,Orthodox,182.88,190.5,185,0,2,0,1.85,0.46,2.4,6.05,0.55,2,0,3,0,0,0,0,0,2,0,2,Orthodox,182.88,185.42,185,31,27,1,-2,-1,-1,2,3,0,0,-1,0,5.08,-4,3.18,-1.5,-0.78,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belal Muhammad,Dhiego Lima,-447,340,22.37136465,340,2/13/2021,"Las Vegas, Nevada, USA",USA,,FALSE,Welterweight,MALE,3,0,3,0,2.84,0.4,0.8,1.66,0.44,3,5,18,0,0,2,1,1,0,0,4,Orthodox,187.96,190.5,170,0,3,0,4.48,0.42,0.2,2.13,0.3,4,3,31,0,0,1,5,1,1,0,8,Orthodox,180.34,182.88,170,32,32,0,0,-1,-4,2,-13,0,0,-1,7.62,7.62,0,-1.64,0.6,-0.47,1,1,,13,,,,,,,,13,,,,,,,,,,,,,,,,,,,Red,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polyana Viana,Mallory Martin,100,-115,100,86.95652174,2/13/2021,"Las Vegas, Nevada, USA",USA,,FALSE,Women's Strawweight,FEMALE,3,0,1,0,4.28,0.59,0.5,3.24,0.6,1,1,7,0,0,0,1,0,1,0,2,Orthodox,162.56,160.02,115,0,1,0,3.93,0.42,1.6,1.22,0.33,1,3,9,0,0,0,0,0,2,0,2,Orthodox,165.1,170.18,115,28,27,0,0,0,0,-2,-2,0,0,-1,-2.54,-10.16,-1,0.35,-1.1,2.02,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andre Ewell,Chris Gutierrez,112,-129,112,77.51937984,2/13/2021,"Las Vegas, Nevada, USA",USA,,FALSE,Catch Weight,MALE,3,0,3,1,4.23,0.58,0.2,0.47,0.5,3,1,13,0,0,1,1,1,0,0,3,Orthodox,175.26,170.18,145,0,2,0,4.5,0.41,0,0.17,0.5,2,2,18,0,0,3,1,0,0,0,4,Southpaw,172.72,190.5,135,33,29,0,1,1,-1,-1,-5,0,1,0,2.54,-20.32,-4,-0.27,0.2,0.3,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gabe Green,Philip Rowe,-138,120,72.46376812,120,2/13/2021,"Las Vegas, Nevada, USA",USA,,FALSE,Welterweight,MALE,3,0,1,0,8.18,0.67,0,0,0,1,0,3,0,0,0,0,1,0,0,1,Orthodox,190.5,203.2,170,1,0,0,8.47,0.46,0,0,0,0,1,3,0,0,0,0,0,0,0,0,Switch,177.8,185.42,170,27,30,-1,1,1,1,-1,0,0,1,0,12.7,17.78,3,-0.29,0,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gillian Robertson,Miranda Maverick,142,-165,142,60.60606061,2/13/2021,"Las Vegas, Nevada, USA",USA,,FALSE,Women's Flyweight,FEMALE,3,0,1,0,9.8,0.51,0,0,0,1,0,1,0,0,0,0,1,0,0,1,Southpaw,160.02,165.1,125,1,0,0,2.05,0.51,0.9,2.64,0.46,2,3,18,0,0,0,1,1,4,0,6,Orthodox,165.1,160.02,125,25,23,-1,1,-1,-5,-3,-17,0,0,-4,-5.08,5.08,-2,7.75,-0.9,-2.64,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
