R_fighter,B_fighter,R_prob,B_prob
Dustin Poirier,Conor McGregor,0.9999562865705153,4.371342948473624e-05
Gilbert Burns,Stephen Thompson,0.1691941869965904,0.8308058130034096
Tai Tuivasa,Greg Hardy,0.7173764035984531,0.28262359640154694
Irene Aldana,Yana Kunitskaya,0.6656188572696723,0.3343811427303277
Sean O'Malley,Louis Smolka,0.9838556325116267,0.01614436748837336
Carlos Condit,Max Griffin,0.6052043492594718,0.39479565074052825
Niko Price,Michel Pereira,0.9223210734444772,0.07767892655552282
Ryan Hall,Ilia Topuria,0.8531786787958633,0.14682132120413668
Trevin Giles,Dricus Du Plessis,0.9933598942201668,0.0066401057798331714
Jennifer Maia,Jessica Eye,0.15725262206894808,0.8427473779310519
Omari Akhmedov,Brad Tavares,0.9476511490697522,0.052348850930247735
Zhalgas Zhumagulov,Jerome Rivera,0.8144956678293118,0.1855043321706882
Hu Yaozong,Alen Amedovski,0.14849089976042285,0.8515091002395772
