R_fighter,B_fighter,R_odds,B_odds,R_ev,B_ev,date,location,country,Winner,title_bout,weight_class,gender,no_of_rounds,B_current_lose_streak,B_current_win_streak,B_draw,B_avg_SIG_STR_landed,B_avg_SIG_STR_pct,B_avg_SUB_ATT,B_avg_TD_landed,B_avg_TD_pct,B_longest_win_streak,B_losses,B_total_rounds_fought,B_total_title_bouts,B_win_by_Decision_Majority,B_win_by_Decision_Split,B_win_by_Decision_Unanimous,B_win_by_KO/TKO,B_win_by_Submission,B_win_by_TKO_Doctor_Stoppage,B_wins,B_Stance,B_Height_cms,B_Reach_cms,B_Weight_lbs,R_current_lose_streak,R_current_win_streak,R_draw,R_avg_SIG_STR_landed,R_avg_SIG_STR_pct,R_avg_SUB_ATT,R_avg_TD_landed,R_avg_TD_pct,R_longest_win_streak,R_losses,R_total_rounds_fought,R_total_title_bouts,R_win_by_Decision_Majority,R_win_by_Decision_Split,R_win_by_Decision_Unanimous,R_win_by_KO/TKO,R_win_by_Submission,R_win_by_TKO_Doctor_Stoppage,R_wins,R_Stance,R_Height_cms,R_Reach_cms,R_Weight_lbs,R_age,B_age,lose_streak_dif,win_streak_dif,longest_win_streak_dif,win_dif,loss_dif,total_round_dif,total_title_bout_dif,ko_dif,sub_dif,height_dif,reach_dif,age_dif,sig_str_dif,avg_sub_att_dif,avg_td_dif,empty_arena,constant_1,B_match_weightclass_rank,R_match_weightclass_rank,R_Women's Flyweight_rank,R_Women's Featherweight_rank,R_Women's Strawweight_rank,R_Women's Bantamweight_rank,R_Heavyweight_rank,R_Light Heavyweight_rank,R_Middleweight_rank,R_Welterweight_rank,R_Lightweight_rank,R_Featherweight_rank,R_Bantamweight_rank,R_Flyweight_rank,R_Pound-for-Pound_rank,B_Women's Flyweight_rank,B_Women's Featherweight_rank,B_Women's Strawweight_rank,B_Women's Bantamweight_rank,B_Heavyweight_rank,B_Light Heavyweight_rank,B_Middleweight_rank,B_Welterweight_rank,B_Lightweight_rank,B_Featherweight_rank,B_Bantamweight_rank,B_Flyweight_rank,B_Pound-for-Pound_rank,better_rank,finish,finish_details,finish_round,finish_round_time,total_fight_time_secs,R_kd_bout,B_kd_bout,R_sig_str_landed_bout,B_sig_str_landed_bout,R_sig_str_attempted_bout,B_sig_str_attempted_bout,R_sig_str_pct_bout,B_sig_str_pct_bout,R_tot_str_landed_bout,B_tot_str_landed_bout,R_tot_str_attempted_bout,B_tot_str_attempted_bout,R_td_landed_bout,B_td_landed_bout,R_td_attempted_bout,B_td_attempted_bout,R_td_pct_bout,B_td_pct_bout,R_sub_attempts_bout,B_sub_attempts_bout,R_pass_bout,B_pass_bout,R_rev_bout,B_rev_bout
Rob Font,Cody Garbrandt,,,,,5/22/2021,"Las Vegas, Nevada, USA",USA,Red,False,Bantamweight,MALE,5,0,1,0,3.17,.38,0.0,1.05,0.32,6,3,20,3,0,0,2,5,0,0,7,Orthodox,172.72,165.1,135,0,3,0,5.58,.43,0.6,1.20,0.4,3,3,22,0,0,0,2,5,1,0,8,Orthodox,172.72,180.34,135,33,29,0,-2,3,-1,0,-2,3,0,-1,0.0,-15.240000000000009,-4,-2.41,-0.6,-0.1499999999999999,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yan Xiaonan,Carla Esparza,,,,,5/22/2021,"Las Vegas, Nevada, USA",USA,Blue,False,Women's Strawweight,FEMALE,3,0,4,0,2.34,.43,0.3,3.53,0.37,4,4,35,2,1,2,4,0,1,0,8,Orthodox,154.94,160.02,115,0,6,0,5.95,.42,0.0,0.92,0.75,6,0,18,0,0,0,6,0,0,0,6,Orthodox,165.1,160.02,115,31,33,0,-2,-2,2,4,17,2,0,1,-10.159999999999997,0.0,2,-3.6100000000000003,0.3,2.61,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Justin Tafa,Jared Vanderaa,,,,,5/22/2021,"Las Vegas, Nevada, USA",USA,Blue,False,Heavyweight,MALE,3,1,0,0,5.59,.49,0.0,0.53,1.0,1,1,3,0,0,0,0,1,0,0,1,Orthodox,193.04,203.2,260,1,0,0,5.15,.55,0.0,0.00,0.0,1,2,5,0,0,0,0,1,0,0,1,Southpaw,182.88,187.96,264,27,29,0,0,0,0,-1,-2,0,0,0,10.159999999999997,15.23999999999998,2,0.4399999999999995,0.0,0.53,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Felicia Spencer,Norma Dumont,,,,,5/22/2021,"Las Vegas, Nevada, USA",USA,Blue,False,Women's Featherweight,FEMALE,3,0,1,0,4.98,.53,0.0,1.79,0.4,1,1,4,0,0,0,1,0,0,0,1,Orthodox,170.18,170.18,145,1,0,0,3.05,.44,0.2,0.48,0.1,1,2,10,1,0,0,0,1,1,0,2,Orthodox,167.64000000000001,172.72,145,30,30,-1,1,0,-1,-1,-6,-1,-1,-1,2.539999999999992,-2.539999999999992,0,1.9300000000000006,-0.2,1.31,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ricardo Ramos,Bill Algeo,,,,,5/22/2021,"Las Vegas, Nevada, USA",USA,Red,False,Featherweight,MALE,3,0,1,0,6.37,.53,0.0,0.50,0.28,1,2,9,0,0,0,1,0,0,0,1,Switch,182.88,185.42000000000002,145,1,0,0,3.10,.41,0.7,3.08,0.58,3,2,15,0,0,1,2,1,1,0,5,Orthodox,175.26,182.88,145,25,31,-1,1,-2,-4,0,-6,0,-1,-1,7.6200000000000045,2.5400000000000205,6,3.27,-0.7,-2.58,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jack Hermansson,Edmen Shahbazyan,,,,,5/22/2021,"Las Vegas, Nevada, USA",USA,Red,False,Middleweight,MALE,3,1,0,0,3.46,.49,0.7,2.97,0.4,5,1,10,0,0,1,0,3,1,0,5,Orthodox,187.96,187.96,185,1,0,0,4.86,.45,0.6,2.09,0.36,4,4,26,0,0,0,2,3,3,0,8,Orthodox,185.42000000000002,195.58,185,32,23,0,0,1,-3,-3,-16,0,0,-2,2.539999999999992,-7.6200000000000045,-9,-1.4000000000000004,0.09999999999999998,0.8800000000000003,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ben Rothwell,Chris Barnett,,,,,5/22/2021,"Las Vegas, Nevada, USA",USA,Red,False,Heavyweight,MALE,3,0,0,0,4.64,.38,0.0,0.00,0.0,0,0,0,0,0,0,0,0,0,0,0,Orthodox,175.26,190.5,265,1,0,0,3.71,.42,0.4,0.68,0.35,6,8,51,0,0,2,2,9,2,0,15,Orthodox,193.04,198.12,265,39,34,-1,0,-6,-15,-8,-51,0,-9,-2,-17.78,-7.6200000000000045,-5,0.9299999999999997,-0.4,-0.68,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Court McGee,Claudio Silva,,,,,5/22/2021,"Las Vegas, Nevada, USA",USA,Red,False,Welterweight,MALE,3,1,0,0,2.81,.41,1.3,2.63,0.25,5,1,14,0,0,1,1,0,3,0,5,Southpaw,180.34,180.34,170,3,0,0,4.76,.36,0.4,1.68,0.23,3,9,48,0,0,1,5,0,2,0,8,Orthodox,180.34,190.5,170,36,38,-2,0,2,-3,-8,-34,0,0,1,0.0,-10.159999999999997,2,-1.9499999999999997,0.9,0.95,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bruno Silva,Victor Rodriguez,,,,,5/22/2021,"Las Vegas, Nevada, USA",USA,Red,False,Flyweight,MALE,3,1,0,0,1.59,.37,0.0,0.00,0.0,0,1,1,0,0,0,0,0,0,0,0,Switch,165.1,170.18,125,0,1,0,2.98,.46,0.0,2.89,0.31,1,2,11,0,0,0,0,1,0,0,1,Orthodox,162.56,165.1,125,31,28,1,-1,-1,-1,-1,-10,0,-1,0,2.539999999999992,5.0800000000000125,-3,-1.39,0.0,-2.89,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Josh Culibao,Shayilan Nuerdanbieke,,,,,5/22/2021,"Las Vegas, Nevada, USA",USA,Red,False,Featherweight,MALE,3,0,0,0,1.13,.26,0.0,2.00,0.14,0,0,0,0,0,0,0,0,0,0,0,Orthodox,172.72,175.26,145,1,0,1,2.92,.43,0.4,0.00,0.0,0,1,5,0,0,0,0,0,0,0,0,Orthodox,177.8,185.42000000000002,145,26,27,-1,0,0,0,-1,-5,0,0,0,-5.0800000000000125,-10.160000000000025,1,-1.79,-0.4,2.0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
