R_fighter,B_fighter,R_odds,B_odds,R_ev,B_ev,date,location,country,Winner,title_bout,weight_class,gender,no_of_rounds,B_current_lose_streak,B_current_win_streak,B_draw,B_avg_SIG_STR_landed,B_avg_SIG_STR_pct,B_avg_SUB_ATT,B_avg_TD_landed,B_avg_TD_pct,B_longest_win_streak,B_losses,B_total_rounds_fought,B_total_title_bouts,B_win_by_Decision_Majority,B_win_by_Decision_Split,B_win_by_Decision_Unanimous,B_win_by_KO/TKO,B_win_by_Submission,B_win_by_TKO_Doctor_Stoppage,B_wins,B_Stance,B_Height_cms,B_Reach_cms,B_Weight_lbs,R_current_lose_streak,R_current_win_streak,R_draw,R_avg_SIG_STR_landed,R_avg_SIG_STR_pct,R_avg_SUB_ATT,R_avg_TD_landed,R_avg_TD_pct,R_longest_win_streak,R_losses,R_total_rounds_fought,R_total_title_bouts,R_win_by_Decision_Majority,R_win_by_Decision_Split,R_win_by_Decision_Unanimous,R_win_by_KO/TKO,R_win_by_Submission,R_win_by_TKO_Doctor_Stoppage,R_wins,R_Stance,R_Height_cms,R_Reach_cms,R_Weight_lbs,R_age,B_age,lose_streak_dif,win_streak_dif,longest_win_streak_dif,win_dif,loss_dif,total_round_dif,total_title_bout_dif,ko_dif,sub_dif,height_dif,reach_dif,age_dif,sig_str_dif,avg_sub_att_dif,avg_td_dif,empty_arena,constant_1,B_match_weightclass_rank,R_match_weightclass_rank,R_Women's Flyweight_rank,R_Women's Featherweight_rank,R_Women's Strawweight_rank,R_Women's Bantamweight_rank,R_Heavyweight_rank,R_Light Heavyweight_rank,R_Middleweight_rank,R_Welterweight_rank,R_Lightweight_rank,R_Featherweight_rank,R_Bantamweight_rank,R_Flyweight_rank,R_Pound-for-Pound_rank,B_Women's Flyweight_rank,B_Women's Featherweight_rank,B_Women's Strawweight_rank,B_Women's Bantamweight_rank,B_Heavyweight_rank,B_Light Heavyweight_rank,B_Middleweight_rank,B_Welterweight_rank,B_Lightweight_rank,B_Featherweight_rank,B_Bantamweight_rank,B_Flyweight_rank,B_Pound-for-Pound_rank,better_rank,finish,finish_details,finish_round,finish_round_time,total_fight_time_secs,r_dec_odds,b_dec_odds,r_sub_odds,b_sub_odds,r_ko_odds,b_ko_odds
Uriah Hall,Sean Strickland,,,,,2021-07-31,"Las Vegas, Nevada, USA",USA,Blue,False,Middleweight,MALE,5,0,4,0,5.14,0.39,0.4,1.14,0.6,4,3,33,0,0,2,4,3,1,0,10,Orthodox,185.42,193.04,185,0,4,0,3.34,0.51,0.2,0.67,0.38,4,7,37,0,0,1,1,8,0,0,10,Orthodox,182.88,200.66,185,37,30,0,0,0,0,-4,-4,0,-5,1,2.5400000000000205,-7.620000000000003,-7,1.7999999999999998,0.2,0.4699999999999998,1,1,11,8,,,,,,,8,,,,,,,,,,,,,11,,,,,,,Red,,,,,,,,,,,
Kyung Ho Kang,Rani Yahya,,,,,2021-07-31,"Las Vegas, Nevada, USA",USA,Blue,False,Bantamweight,MALE,3,0,1,1,1.57,0.37,2.0,2.89,0.33,4,7,57,0,0,1,4,0,11,0,16,Orthodox,167.64,170.18,135,0,3,0,2.52,0.44,1.1,2.53,0.59,3,2,23,0,0,3,0,0,3,0,6,Orthodox,175.26,185.42,135,33,36,0,-2,1,10,5,34,0,0,8,-7.619999999999976,-15.240000000000007,3,-0.95,0.8999999999999999,0.3600000000000003,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,,,,,,,,,,,
Cheyanne Buys,Gloria de Paula,,,,,2021-07-31,"Las Vegas, Nevada, USA",USA,Blue,False,Women's Strawweight,FEMALE,3,1,0,0,3.33,0.54,1.0,0.0,0.0,1,1,6,0,0,0,1,0,0,0,1,Orthodox,165.1,170.18,115,1,0,0,4.1,0.53,0.0,0.0,0.0,1,1,6,0,0,0,1,0,0,0,1,Switch,160.02,160.02,115,26,26,0,0,0,0,0,0,0,0,0,5.079999999999984,10.159999999999997,0,-0.7699999999999996,1.0,0.0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,,,,,,,,,,,
Niklas Stolze,Jared Gooden,,,,,2021-07-31,"Las Vegas, Nevada, USA",USA,Blue,False,Welterweight,MALE,3,2,0,0,4.77,0.41,0.0,0.5,1.0,0,2,6,0,0,0,0,0,0,0,0,Orthodox,182.88,195.58,170,1,0,0,2.0,0.41,0.0,1.0,1.0,0,1,3,0,0,0,0,0,0,0,0,Switch,185.42,187.96,170,28,27,1,0,0,0,1,3,0,0,0,-2.5400000000000205,7.620000000000003,-1,2.77,0.0,-0.5,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,,,,,,,,,,,
Ryan Benoit,Zarrukh Adashev,,,,,2021-07-31,"Las Vegas, Nevada, USA",USA,Blue,False,Flyweight,MALE,3,2,0,0,1.93,0.23,0.0,0.0,0.0,0,2,4,0,0,0,0,0,0,0,0,Southpaw,165.1,165.1,125,2,0,0,2.95,0.41,0.5,0.33,0.25,1,5,20,0,0,1,0,2,0,0,3,Orthodox,165.1,172.72,125,31,29,0,0,-1,-3,-3,-16,0,-2,0,0.0,-7.620000000000003,-2,-1.0200000000000002,-0.5,-0.33,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,,,,,,,,,,,
Bryan Barberena,Jason Witt,,,,,2021-07-31,"Las Vegas, Nevada, USA",USA,Blue,False,Welterweight,MALE,3,1,0,0,3.16,0.65,1.8,3.65,0.5,1,2,4,0,0,0,0,0,1,0,1,Orthodox,177.8,177.8,170,0,1,0,5.48,0.48,0.5,0.23,0.28,2,5,28,0,0,0,2,3,1,0,6,Southpaw,182.88,182.88,170,32,34,1,-1,-1,-5,-3,-24,0,-3,0,-5.079999999999984,-5.079999999999984,2,-2.3200000000000003,1.3,3.42,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,,,,,,,,,,,
Nicco Montano,Wu Yanan,,,,,2021-07-31,"Las Vegas, Nevada, USA",USA,Blue,False,Women's Bantamweight,FEMALE,3,2,0,0,4.51,0.45,0.3,0.61,0.22,1,3,10,0,0,0,0,0,1,0,1,Orthodox,172.72,167.64,125,1,0,0,5.6,0.41,0.4,2.25,0.54,1,1,8,1,0,0,1,0,0,0,1,Southpaw,165.1,165.1,135,32,25,1,0,0,0,2,2,-1,0,1,7.620000000000003,2.5400000000000205,-7,-1.09,-0.1,-1.64,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,,,,,,,,,,,
Collin Anglin,Melsik Baghdasaryan,,,,,2021-07-31,"Las Vegas, Nevada, USA",USA,Blue,False,Featherweight,MALE,3,0,1,0,6.8,0.64,0.0,0.0,0.0,1,0,3,0,0,0,1,0,0,0,1,Southpaw,175.26,177.8,145,0,1,0,5.87,0.55,0.0,3.0,0.75,1,0,3,0,0,0,1,0,0,0,1,Orthodox,175.26,180.34,145,28,29,0,0,0,0,0,0,0,0,0,0.0,-2.539999999999992,1,0.9299999999999996,0.0,-3.0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,,,,,,,,,,,
Chris Gruetzemacher,Rafa Garcia,,,,,2021-07-31,"Las Vegas, Nevada, USA",USA,Blue,False,Lightweight,MALE,3,1,0,0,3.47,0.23,0.0,0.0,0.0,0,1,3,0,0,0,0,0,0,0,0,Orthodox,170.18,177.8,155,1,0,0,7.02,0.57,0.0,0.0,0.0,2,3,12,0,0,0,1,2,0,0,3,Orthodox,172.72,172.72,155,35,26,0,0,-2,-3,-2,-9,0,-2,0,-2.539999999999992,5.0800000000000125,-9,-3.5499999999999994,0.0,0.0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,,,,,,,,,,,
Danny Chavez,Kai Kamaka,,,,,2021-07-31,"Las Vegas, Nevada, USA",USA,Blue,False,Featherweight,MALE,3,2,0,0,5.63,0.56,0.4,2.66,0.77,1,2,8,0,0,0,1,0,0,0,1,Orthodox,170.18,175.26,145,1,0,0,2.93,0.39,0.0,2.5,1.0,1,1,6,0,0,0,1,0,0,0,1,Orthodox,172.72,170.18,145,34,26,1,0,0,0,1,2,0,0,0,-2.539999999999992,5.079999999999984,-8,2.7,0.4,0.1600000000000001,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,,,,,,,,,,,
