,R_fighter,B_fighter,R_prob,B_prob
0,Chan Sung Jung,Dan Ige,0.569272602742499,0.4307273972575038
1,Aleksei Oleinik,Serghei Spivac,0.6206167881236765,0.3793832118763265
2,Marlon Vera,Davey Grant,0.532411561341083,0.4675884386589197
3,Julian Erosa,SeungWoo Choi,0.43798763819713915,0.5620123618028621
4,Wellington Turman,Bruno Silva,0.4329897756789023,0.5670102243210974
5,Matt Brown,Dhiego Lima,0.7336575305936514,0.26634246940634926
6,Aleksa Camur,Nicolae Negumereanu,0.7402392102742368,0.2597607897257628
7,Kanako Murata,Virna Jandiroba,0.4760989891381682,0.5239010108618294
8,Khaos Williams,Matthew Semelsberger,0.5110471183109337,0.48895288168906875
9,Josh Parisian,Roque Martinez,0.9253973273666587,0.07460267263334297
10,Joaquim Silva,Ricky Glenn,0.3476571399127188,0.6523428600872786
11,Casey O'Neill,Lara Procopio,0.6350702766830395,0.3649297233169594
