R_fighter,B_fighter,R_odds,B_odds,date,location,country,Winner,title_bout,weight_class,gender
Kevin Lee,Charles Oliveira,-145,135,3/14/2020,"Brasilia, Distrito Federal, Brazil",Brazil,Blue,FALSE,Lightweight,MALE
Demian Maia,Gilbert Burns,160,-170,3/14/2020,"Brasilia, Distrito Federal, Brazil",Brazil,Blue,FALSE,Welterweight,MALE
Renato Moicano,Damir Hadzovic,-345,315,3/14/2020,"Brasilia, Distrito Federal, Brazil",Brazil,Red,FALSE,Lightweight,MALE
Johnny Walker,Nikita Krylov,-137,127,3/14/2020,"Brasilia, Distrito Federal, Brazil",Brazil,Blue,FALSE,Light Heavyweight,MALE
Francisco Trinaldo,John Makdessi,-160,150,3/14/2020,"Brasilia, Distrito Federal, Brazil",Brazil,Red,FALSE,Lightweight,MALE
Jussier Formiga,Brandon Moreno,-150,140,3/14/2020,"Brasilia, Distrito Federal, Brazil",Brazil,Blue,FALSE,Flyweight,MALE
Amanda Ribas,Randa Markos,-345,315,3/14/2020,"Brasilia, Distrito Federal, Brazil",Brazil,Red,FALSE,Women's Strawweight,FEMALE
Elizeu Dos Santos,Aleksei Kunchenko,-122,112,3/14/2020,"Brasilia, Distrito Federal, Brazil",Brazil,Red,FALSE,Welterweight,MALE
Rani Yahya,Enrique Barzola,170,-185,3/14/2020,"Brasilia, Distrito Federal, Brazil",Brazil,Draw,FALSE,Bantamweight,MALE
Mayra Bueno Silva,Maryna Moroz,-140,130,3/14/2020,"Brasilia, Distrito Federal, Brazil",Brazil,Blue,FALSE,Women's Flyweight,FEMALE
Bruno Silva,David Dvorak,-110,100,3/14/2020,"Brasilia, Distrito Federal, Brazil",Brazil,Blue,FALSE,Flyweight,MALE
Veronica Macedo,Bea Malecki,-155,145,3/14/2020,"Brasilia, Distrito Federal, Brazil",Brazil,Blue,FALSE,Women's Bantamweight,FEMALE
Israel Adesanya,Yoel Romero,-260,240,3/7/2020,"Las Vegas, Nevada, USA",USA,Red,TRUE,Middleweight,MALE
Weili Zhang,Joanna Jedrzejczyk,-185,170,3/7/2020,"Las Vegas, Nevada, USA",USA,Red,TRUE,Women's Strawweight,FEMALE
Beneil Dariush,Drakkar Klose,-162,152,3/7/2020,"Las Vegas, Nevada, USA",USA,Red,FALSE,Lightweight,MALE
Neil Magny,Li Jingliang,157,-167,3/7/2020,"Las Vegas, Nevada, USA",USA,Red,FALSE,Welterweight,MALE
Alex Oliveira,Max Griffin,-125,115,3/7/2020,"Las Vegas, Nevada, USA",USA,Red,FALSE,Welterweight,MALE
Sean O'Malley,Jose Quinonez,-330,300,3/7/2020,"Las Vegas, Nevada, USA",USA,Red,FALSE,Bantamweight,MALE
Mark Madsen,Austin Hubbard,-215,195,3/7/2020,"Las Vegas, Nevada, USA",USA,Red,FALSE,Lightweight,MALE
Rodolfo Vieira,Saparbeg Safarov,-570,480,3/7/2020,"Las Vegas, Nevada, USA",USA,Red,FALSE,Middleweight,MALE
Gerald Meerschaert,Deron Winn,125,-135,3/7/2020,"Las Vegas, Nevada, USA",USA,Red,FALSE,Middleweight,MALE
Jamall Emmers,Giga Chikadze,-170,160,3/7/2020,"Las Vegas, Nevada, USA",USA,Blue,FALSE,Featherweight,MALE
Danaa Batgerel,Guido Cannetti,-120,110,3/7/2020,"Las Vegas, Nevada, USA",USA,Red,FALSE,Bantamweight,MALE
Joseph Benavidez,Deiveson Figueiredo,-150,130,2/29/2020,"Norfolk, Virginia, USA", USA,Blue,TRUE,Flyweight,MALE
Felicia Spencer,Zarah Fairn,-870,585,2/29/2020,"Norfolk, Virginia, USA", USA,Red,FALSE,Women's Featherweight,FEMALE
Ion Cutelaba,Magomed Ankalaev,185,-225,2/29/2020,"Norfolk, Virginia, USA", USA,Blue,FALSE,Light Heavyweight,MALE
Megan Anderson,Norma Dumont,-245,205,2/29/2020,"Norfolk, Virginia, USA", USA,Red,FALSE,Women's Featherweight,FEMALE
Grant Dawson,Darrick Minner,-475,380,2/29/2020,"Norfolk, Virginia, USA", USA,Red,FALSE,Featherweight,MALE
Gabriel Silva,Kyler Phillips,-130,110,2/29/2020,"Norfolk, Virginia, USA", USA,Blue,FALSE,Bantamweight,MALE
Brendan Allen,Tom Breese,110,-130,2/29/2020,"Norfolk, Virginia, USA", USA,Red,FALSE,Middleweight,MALE
Luis Pena,Steve Garcia,-270,230,2/29/2020,"Norfolk, Virginia, USA", USA,Red,FALSE,Lightweight,MALE
Marcin Tybura,Serghei Spivac,100,-120,2/29/2020,"Norfolk, Virginia, USA", USA,Red,FALSE,Heavyweight,MALE
Jordan Griffin,TJ Brown,-135,115,2/29/2020,"Norfolk, Virginia, USA", USA,Red,FALSE,Featherweight,MALE
Aalon Cruz,Spike Carlyle,-190,165,2/29/2020,"Norfolk, Virginia, USA", USA,Blue,FALSE,Featherweight,MALE
Sean Brady,Ismail Naurdiev,105,-125,2/29/2020,"Norfolk, Virginia, USA", USA,Red,FALSE,Welterweight,MALE
Paul Felder,Dan Hooker,130,-150,2/22/2020,"Auckland, New Zealand", New Zealand,Blue,FALSE,Lightweight,MALE
Jim Crute,Michal Oleksiejczuk,100,-120,2/22/2020,"Auckland, New Zealand", New Zealand,Red,FALSE,Light Heavyweight,MALE
Karolina Kowalkiewicz,Yan Xiaonan,225,-265,2/22/2020,"Auckland, New Zealand", New Zealand,Blue,FALSE,Women's Strawweight,FEMALE
Ben Sosoli,Marcos Rogerio De Lima,130,-150,2/22/2020,"Auckland, New Zealand", New Zealand,Blue,FALSE,Heavyweight,MALE
Brad Riddell,Magomed Mustafaev,120,-140,2/22/2020,"Auckland, New Zealand", New Zealand,Red,FALSE,Lightweight,MALE
Kevin Aguilar,Zubaira Tukhugov,-115,-105,2/22/2020,"Auckland, New Zealand", New Zealand,Blue,FALSE,Featherweight,MALE
Jalin Turner,Joshua Culibao,-210,175,2/22/2020,"Auckland, New Zealand", New Zealand,Red,FALSE,Lightweight,MALE
Jake Matthews,Emil Meek,-200,170,2/22/2020,"Auckland, New Zealand", New Zealand,Red,FALSE,Welterweight,MALE
Callan Potter,Song Kenan,170,-200,2/22/2020,"Auckland, New Zealand", New Zealand,Blue,FALSE,Welterweight,MALE
Kai Kara France,Tyson Nam,-260,220,2/22/2020,"Auckland, New Zealand", New Zealand,Red,FALSE,Flyweight,MALE
Loma Lookboonmee,Angela Hill,155,-175,2/22/2020,"Auckland, New Zealand", New Zealand,Blue,FALSE,Women's Strawweight,FEMALE
Priscila Cachoeira,Shana Dobson,180,-220,2/22/2020,"Auckland, New Zealand", New Zealand,Red,FALSE,Women's Flyweight,FEMALE
Francis Ngannou,Junior Dos Santos,-220,180,6/29/2019,"Minneapolis, Minnesota, USA", USA,Red,FALSE,Heavyweight,MALE
Jussier Formiga,Joseph Benavidez,105,-125,6/29/2019,"Minneapolis, Minnesota, USA", USA,Blue,FALSE,Flyweight,MALE
Demian Maia,Rocco Martin,-190,165,6/29/2019,"Minneapolis, Minnesota, USA", USA,Red,FALSE,Welterweight,MALE
Roosevelt Roberts,Vinc Pichel,-245,205,6/29/2019,"Minneapolis, Minnesota, USA", USA,Blue,FALSE,Lightweight,MALE
Drew Dober,Marco Polo Reyes,-430,345,6/29/2019,"Minneapolis, Minnesota, USA", USA,Red,FALSE,Lightweight,MALE
Alonzo Menifield,Paul Craig,-350,290,6/29/2019,"Minneapolis, Minnesota, USA", USA,Red,FALSE,Light Heavyweight,MALE
Ricardo Ramos,Journey Newson,-380,315,6/29/2019,"Minneapolis, Minnesota, USA", USA,Red,FALSE,Bantamweight,MALE
Eryk Anders,Vinicius Moreira,-300,250,6/29/2019,"Minneapolis, Minnesota, USA", USA,Red,FALSE,Light Heavyweight,MALE
Jared Gordon,Dan Moret,-350,290,6/29/2019,"Minneapolis, Minnesota, USA", USA,Red,FALSE,Lightweight,MALE
Dalcha Lungiambula,Dequan Townsend,-420,335,6/29/2019,"Minneapolis, Minnesota, USA", USA,Red,FALSE,Light Heavyweight,MALE
Emily Whitmire,Amanda Ribas,-175,155,6/29/2019,"Minneapolis, Minnesota, USA", USA,Blue,FALSE,Women's Strawweight,FEMALE
