R_fighter,B_fighter,R_prob,B_prob
Derrick Lewis,Ciryl Gane,0.5077291742131654,0.49227082578683456
Jose Aldo,Pedro Munhoz,0.3270624393543444,0.6729375606456556
Michael Chiesa,Vicente Luque,0.49640659604737447,0.5035934039526255
Tecia Torres,Angela Hill,0.42924079142100635,0.5707592085789936
Song Yadong,Casey Kenney,0.5980239122960963,0.4019760877039037
Bobby Green,Rafael Fiziev,0.3960615252013202,0.6039384747986798
Vince Morales,Drako Rodriguez,0.5008916972236738,0.4991083027763262
Alonzo Menifield,Ed Herman,0.6546227885249425,0.34537721147505746
Karolina Kowalkiewicz,Jessica Penne,0.5137134114478038,0.48628658855219614
Manel Kape,Ode Osbourne,0.6947064158707462,0.3052935841292539
Miles Johns,Anderson Dos Santos,0.7233914438217833,0.2766085561782168
Victoria Leonardo,Melissa Gatto,0.4839730303716783,0.5160269696283216
Johnny Munoz,Jamey Simmons,0.7812402110660333,0.2187597889339669
