date,weightclass,fighter,rank
2013-02-04,Pound-for-Pound,Anderson Silva,1
2013-02-04,Pound-for-Pound,Jon Jones,2
2013-02-04,Pound-for-Pound,Georges St-Pierre,3
2013-02-04,Pound-for-Pound,Jose Aldo,4
2013-02-04,Pound-for-Pound,Benson Henderson,5
2013-02-04,Pound-for-Pound,Cain Velasquez,6
2013-02-04,Pound-for-Pound,Dominick Cruz,7
2013-02-04,Pound-for-Pound,Demetrious Johnson,8
2013-02-04,Pound-for-Pound,Frankie Edgar,9
2013-02-04,Pound-for-Pound,Dan Henderson,10
2013-02-04,Flyweight,Demetrious Johnson,0
2013-02-04,Flyweight,Joseph Benavidez,1
2013-02-04,Flyweight,John Dodson,2
2013-02-04,Flyweight,Ian McCall,3
2013-02-04,Flyweight,John Moraga,4
2013-02-04,Flyweight,Jussier Formiga,5
2013-02-04,Flyweight,Louis Gaudinot,6
2013-02-04,Flyweight,Chris Cariaso,7
2013-02-04,Flyweight,John Lineker,8
2013-02-04,Flyweight,Darren Uyenoyama,9
2013-02-04,Flyweight,Ulysses Gomez,10
2013-02-04,Bantamweight,Dominick Cruz,0
2013-02-04,Bantamweight,Renan Barao,1
2013-02-04,Bantamweight,Michael McDonald,2
2013-02-04,Bantamweight,Urijah Faber,3
2013-02-04,Bantamweight,Eddie Wineland,4
2013-02-04,Bantamweight,Brad Pickett,5
2013-02-04,Bantamweight,Brian Bowles,6
2013-02-04,Bantamweight,Raphael Assuncao,7
2013-02-04,Bantamweight,Scott Jorgensen,8
2013-02-04,Bantamweight,Mike Easton,9
2013-02-04,Bantamweight,Ivan Menjivar,10
2013-02-04,Featherweight,Jose Aldo,0
2013-02-04,Featherweight,Chad Mendes,1
2013-02-04,Featherweight,Ricardo Lamas,2
2013-02-04,Featherweight,Chan Sung Jung,3
2013-02-04,Featherweight,Frankie Edgar,4
2013-02-04,Featherweight,Dennis Siver,5
2013-02-04,Featherweight,Cub Swanson,6
2013-02-04,Featherweight,Dustin Poirier,7
2013-02-04,Featherweight,Nik Lentz,8
2013-02-04,Featherweight,Erik Koch,9
2013-02-04,Featherweight,Clay Guida,10
2013-02-04,Lightweight,Benson Henderson,0
2013-02-04,Lightweight,Gilbert Melendez,1
2013-02-04,Lightweight,Anthony Pettis,2
2013-02-04,Lightweight,Gray Maynard,3
2013-02-04,Lightweight,Nate Diaz,4
2013-02-04,Lightweight,Jim Miller,5
2013-02-04,Lightweight,Donald Cerrone,6
2013-02-04,Lightweight,TJ Grant,7
