Rob Font,Cody Garbrandt,,,,,2021-05-22,"Las Vegas, Nevada, USA",USA,Red,False,Bantamweight,MALE,5,0,1,0,3.17,0.38,0.0,1.05,0.32,6,3,20,3,0,0,2,5,0,0,7,Orthodox,172.72,165.1,135,0,3,0,5.58,0.43,0.6,1.2,0.4,3,3,22,0,0,0,2,5,1,0,8,Orthodox,172.72,180.34,135,33,29,0,-2,3,-1,0,-2,3,0,-1,0.0,-15.240000000000007,-4,-2.41,-0.6,-0.1499999999999999,1,1,4.0,3.0,,,,,,,,,,,3.0,,,,,,,,,,,,,4.0,,,Red,U-DEC,,5,5:00,1500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yan Xiaonan,Carla Esparza,,,,,2021-05-22,"Las Vegas, Nevada, USA",USA,Blue,False,Women's Strawweight,FEMALE,3,0,4,0,2.34,0.43,0.3,3.53,0.37,4,4,35,2,1,2,4,0,1,0,8,Orthodox,154.94,160.02,115,0,6,0,5.95,0.42,0.0,0.92,0.75,6,0,18,0,0,0,6,0,0,0,6,Orthodox,165.1,160.02,115,31,33,0,-2,-2,2,4,17,2,0,1,-10.159999999999997,0.0,2,-3.61,0.3,2.61,1,1,4.0,3.0,,,3.0,,,,,,,,,,11.0,,,4.0,,,,,,,,,,13.0,Red,KO/TKO,Punches,2,2:58,478,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Justin Tafa,Jared Vanderaa,,,,,2021-05-22,"Las Vegas, Nevada, USA",USA,Blue,False,Heavyweight,MALE,3,1,0,0,5.59,0.49,0.0,0.53,1.0,1,1,3,0,0,0,0,1,0,0,1,Orthodox,193.04,203.2,260,1,0,0,5.15,0.55,0.0,0.0,0.0,1,2,5,0,0,0,0,1,0,0,1,Southpaw,182.88,187.96,264,27,29,0,0,0,0,-1,-2,0,0,0,10.159999999999997,15.23999999999998,2,0.4399999999999995,0.0,0.53,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,U-DEC,,3,5:00,900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Felicia Spencer,Norma Dumont,,,,,2021-05-22,"Las Vegas, Nevada, USA",USA,Blue,False,Women's Featherweight,FEMALE,3,0,1,0,4.98,0.53,0.0,1.79,0.4,1,1,4,0,0,0,1,0,0,0,1,Orthodox,170.18,170.18,145,1,0,0,3.05,0.44,0.2,0.48,0.1,1,2,10,1,0,0,0,1,1,0,2,Orthodox,167.64,172.72,145,30,30,-1,1,0,-1,-1,-6,-1,-1,-1,2.539999999999992,-2.539999999999992,0,1.9300000000000008,-0.2,1.31,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,S-DEC,,3,5:00,900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ricardo Ramos,Bill Algeo,,,,,2021-05-22,"Las Vegas, Nevada, USA",USA,Red,False,Featherweight,MALE,3,0,1,0,6.37,0.53,0.0,0.5,0.28,1,2,9,0,0,0,1,0,0,0,1,Switch,182.88,185.42,145,1,0,0,3.1,0.41,0.7,3.08,0.58,3,2,15,0,0,1,2,1,1,0,5,Orthodox,175.26,182.88,145,25,31,-1,1,-2,-4,0,-6,0,-1,-1,7.620000000000003,2.5400000000000205,6,3.27,-0.7,-2.58,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,U-DEC,,3,5:00,900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jack Hermansson,Edmen Shahbazyan,,,,,2021-05-22,"Las Vegas, Nevada, USA",USA,Red,False,Middleweight,MALE,3,1,0,0,3.46,0.49,0.7,2.97,0.4,5,1,10,0,0,1,0,3,1,0,5,Orthodox,187.96,187.96,185,1,0,0,4.86,0.45,0.6,2.09,0.36,4,4,26,0,0,0,2,3,3,0,8,Orthodox,185.42,195.58,185,32,23,0,0,1,-3,-3,-16,0,0,-2,2.539999999999992,-7.620000000000003,-9,-1.4000000000000004,0.0999999999999999,0.8800000000000003,1,1,10.0,7.0,,,,,,,7.0,,,,,,,,,,,,,10.0,,,,,,,Red,U-DEC,,3,5:00,900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ben Rothwell,Chris Barnett,,,,,2021-05-22,"Las Vegas, Nevada, USA",USA,Red,False,Heavyweight,MALE,3,0,0,0,4.64,0.38,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,Orthodox,175.26,190.5,265,1,0,0,3.71,0.42,0.4,0.68,0.35,6,8,51,0,0,2,2,9,2,0,15,Orthodox,193.04,198.12,265,39,34,-1,0,-6,-15,-8,-51,0,-9,-2,-17.78,-7.620000000000003,-5,0.9299999999999996,-0.4,-0.68,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,SUB,Guillotine Choke,2,2:07,427,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Court McGee,Claudio Silva,,,,,2021-05-22,"Las Vegas, Nevada, USA",USA,Red,False,Welterweight,MALE,3,1,0,0,2.81,0.41,1.3,2.63,0.25,5,1,14,0,0,1,1,0,3,0,5,Southpaw,180.34,180.34,170,3,0,0,4.76,0.36,0.4,1.68,0.23,3,9,48,0,0,1,5,0,2,0,8,Orthodox,180.34,190.5,170,36,38,-2,0,2,-3,-8,-34,0,0,1,0.0,-10.159999999999997,2,-1.95,0.9,0.95,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,U-DEC,,3,5:00,900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bruno Silva,Victor Rodriguez,,,,,2021-05-22,"Las Vegas, Nevada, USA",USA,Red,False,Flyweight,MALE,3,1,0,0,1.59,0.37,0.0,0.0,0.0,0,1,1,0,0,0,0,0,0,0,0,Switch,165.1,170.18,125,0,1,0,2.98,0.46,0.0,2.89,0.31,1,2,11,0,0,0,0,1,0,0,1,Orthodox,162.56,165.1,125,31,28,1,-1,-1,-1,-1,-10,0,-1,0,2.539999999999992,5.0800000000000125,-3,-1.39,0.0,-2.89,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,KO/TKO,Punch,1,1:00,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Josh Culibao,Shayilan Nuerdanbieke,,,,,2021-05-22,"Las Vegas, Nevada, USA",USA,Red,False,Featherweight,MALE,3,0,0,0,1.13,0.26,0.0,2.0,0.14,0,0,0,0,0,0,0,0,0,0,0,Orthodox,172.72,175.26,145,1,0,1,2.92,0.43,0.4,0.0,0.0,0,1,5,0,0,0,0,0,0,0,0,Orthodox,177.8,185.42,145,26,27,-1,0,0,0,-1,-5,0,0,0,-5.0800000000000125,-10.160000000000023,1,-1.79,-0.4,2.0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,U-DEC,,3,5:00,900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
David Dvorak,Juancamilo Ronderos,,,,,2021-05-22,"Las Vegas, Nevada, USA",USA,Red,False,Flyweight,MALE,3,0,0,0,4.78,0.34,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,,162.56,162.56,125,0,2,0,4.46,0.46,0.5,0.0,0.0,2,0,6,0,0,0,2,0,0,0,2,Orthodox,165.1,172.72,125,28,26,0,-2,-2,-2,0,-6,0,0,0,-2.539999999999992,-10.159999999999997,-2,0.3200000000000003,-0.5,0.0,1,1,,11.0,,,,,,,,,,,,11.0,,,,,,,,,,,,,,,Red,SUB,Rear Naked Choke,1,2:18,138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rafael Alves,Damir Ismagulov,,,,,2021-05-22,"Las Vegas, Nevada, USA",USA,Blue,False,Lightweight,MALE,3,0,3,0,3.75,0.43,0.0,1.75,0.36,3,0,9,0,0,0,3,0,0,0,3,Orthodox,177.8,187.96,155,0,1,0,2.01,0.46,1.3,0.0,0.0,1,0,2,0,0,0,0,0,1,0,1,Orthodox,172.72,172.72,155,30,30,0,2,2,2,0,7,0,0,-1,5.0800000000000125,15.240000000000007,0,1.7400000000000002,-1.3,1.75,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,U-DEC,,3,5:00,900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Charles Oliveira,Michael Chandler,,,,,2021-05-15,"Houston, Texas, USA",USA,Red,True,Lightweight,MALE,5,0,3,0,4.49,0.5,1.6,2.03,0.41,3,0,4,0,0,0,0,2,1,0,3,Orthodox,172.72,180.34,155,0,8,0,3.26,0.52,2.7,2.64,0.44,8,8,51,0,0,0,2,2,14,0,18,Orthodox,177.8,187.96,155,31,35,0,-5,-5,-15,-8,-47,0,0,-13,-5.0800000000000125,-7.620000000000003,4,1.2300000000000004,-1.1,-0.6100000000000003,1,1,4.0,3.0,,,,,,,,,3.0,,,,,,,,,,,,,4.0,,,,,Red,KO/TKO,Punch,2,0:19,319,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
