R_fighter,B_fighter,finish,finish_details,date
Calvin Kattar,Dan Ige,,,7/15/2020
Tim Elliott,Ryan Benoit,,,7/15/2020
Jimmie Rivera,Cody Stamann,,,7/15/2020
Molly McCann,Taila Santos,,,7/15/2020
Abdul Razak Alhassan,Mounir Lazzez,,,7/15/2020
John Phillips,Khamzat Chimaev,,,7/15/2020
Ricardo Ramos,Lerone Murphy,,,7/15/2020
Modestas Bukauskas,Andreas Michailidis,,,7/15/2020
Jared Gordon,Chris Fishgold,,,7/15/2020
Diana Belbita,Liana Jojua,,,7/15/2020
Jack Shore,Aaron Phillips,,,7/15/2020
Jorge Gonzalez,Kenneth Bergh,,,7/15/2020
Kamaru Usman,Jorge Masvidal,U-DEC,,7/11/2020
Alexander Volkanovski,Max Holloway,S-DEC,,7/11/2020
Petr Yan,Jose Aldo,KO/TKO,Punches,7/11/2020
Rose Namajunas,Jessica Andrade,S-DEC,,7/11/2020
Amanda Ribas,Paige VanZant,SUB,Armbar,7/11/2020
Jiri Prochazka,Volkan Oezdemir,KO/TKO,Punch,7/11/2020
Muslim Salikhov,Elizeu Zaleski dos Santos,S-DEC,,7/11/2020
Makwan Amirkhani,Danny Henry,SUB,Anaconda Choke,7/11/2020
Leonardo Santos,Roman Bogatov,U-DEC,,7/11/2020
Marcin Tybura,Maxim Grishin,U-DEC,,7/11/2020
Raulian Paiva,Zhalgas Zhumagulov,U-DEC,,7/11/2020
Karol Rosa,Vanessa Melo,U-DEC,,7/11/2020
Davey Grant,Martin Day,KO/TKO,Punch,7/11/2020
Dustin Poirier,Dan Hooker,U-DEC,,6/27/2020
Mike Perry,Mickey Gall,U-DEC,,6/27/2020
Maurice Greene,Gian Villante,SUB,Arm Triangle,6/27/2020
Brendan Allen,Kyle Daukaus,U-DEC,,6/27/2020
Takashi Sato,Jason Witt,KO/TKO,Punches,6/27/2020
Julian Erosa,Sean Woodson,SUB,D'Arce Choke,6/27/2020
Khama Worthy,Luis Pena,SUB,Guillotine Choke,6/27/2020
Tanner Boser,Philipe Lins,KO/TKO,Punches,6/27/2020
Kay Hansen,Jinh Yu Frey,SUB,Armbar,6/27/2020
Youssef Zalal,Jordan Griffin,U-DEC,,6/27/2020
Curtis Blaydes,Alexander Volkov,U-DEC,,6/20/2020
Josh Emmett,Shane Burgos,U-DEC,,6/20/2020
Raquel Pennington,Marion Reneau,U-DEC,,6/20/2020
Belal Muhammad,Lyman Good,U-DEC,,6/20/2020
Jim Miller,Roosevelt Roberts,SUB,Armbar,6/20/2020
Bobby Green,Clay Guida,U-DEC,,6/20/2020
Tecia Torres,Brianna Van Buren,U-DEC,,6/20/2020
