R_fighter,B_fighter,round,time,date
Tito Ortiz,Ken Shamrock,1,2:23,10/10/2006
Kendall Grove,Chris Price,1,3:59,10/10/2006
Jason MacDonald,Ed Herman,1,2:43,10/10/2006
Matt Hamill,Seth Petruzelli,3,5:00,10/10/2006
Nate Marquardt,Crafton Wallace,2,1:14,10/10/2006
Tony DeSouza,Dustin Hazelett,1,3:59,10/10/2006
Rory Singer,Josh Haynes,3,5:00,10/10/2006
Thiago Alves,John Alessio,3,5:00,10/10/2006
Marcus Davis,Forrest Petz,1,4:58,10/10/2006
Carla Esparza,Rose Namajunas,3,1:26,12/12/2014
Charles Oliveira,Jeremy Stephens,3,5:00,12/12/2014
KJ Noons,Daron Cruickshank,2,0:25,12/12/2014
Yancy Medeiros,Joe Proctor,1,4:37,12/12/2014
Jessica Penne,Randa Markos,3,5:00,12/12/2014
Felice Herrig,Lisa Ellis,2,3:05,12/12/2014
Heather Clark,Bec Rawlings,3,5:00,12/12/2014
Joanne Calderwood,Seo Hee Ham,3,5:00,12/12/2014
Tecia Torres,Angela Magana,3,5:00,12/12/2014
Aisling Daly,Alex Chambers,1,4:53,12/12/2014
Angela Hill,Emily Kagan,3,5:00,12/12/2014
Nicco Montano,Roxanne Modafferi,5,5:00,12/1/2017
Sean O'Malley,Terrion Ware,3,5:00,12/1/2017
Lauren Murphy,Barb Honchak,3,5:00,12/1/2017
Gerald Meerschaert,Eric Spicely,2,2:18,12/1/2017
DeAnna Bennett,Melinda Fabian,3,5:00,12/1/2017
Brett Johns,Joe Soto,1,0:30,12/1/2017
Montana De La Rosa,Christina Marks,1,2:00,12/1/2017
Ryan Janes,Andrew Sanchez,3,0:58,12/1/2017
Rachael Ostovich,Karine Gevorgyan,1,1:40,12/1/2017
Shana Dobson,Ariel Beck,2,2:53,12/1/2017
Gillian Robertson,Emily Whitmire,1,2:12,12/1/2017
Stephen Thompson,Jake Ellenberger,1,4:29,7/12/2015
Kamaru Usman,Hayder Hassan,2,1:19,7/12/2015
Michael Graves,Vicente Luque,3,5:00,7/12/2015
Jorge Masvidal,Cezar Ferreira,1,4:22,7/12/2015
Michelle Waterson,Angela Magana,3,2:38,7/12/2015
Maximo Blanco,Mike de la Torre,1,0:16,7/12/2015
Josh Samman,Caio Magalhaes,1,2:52,7/12/2015
Jerrod Sanders,Russell Doane,3,5:00,7/12/2015
Trevor Smith,Dan Miller,3,5:00,7/12/2015
George Sullivan,Dominic Waters,3,5:00,7/12/2015
Willie Gates,Darrell Montague,1,1:36,7/12/2015
Kamaru Usman,Rafael Dos Anjos,5,5:00,11/30/2018
Juan Espino,Justin Frazier,1,3:36,11/30/2018
Macy Chiasson,Pannie Kianzad,2,2:11,11/30/2018
Pedro Munhoz,Bryan Caraway,1,2:39,11/30/2018
Edmen Shahbazyan,Darren Stewart,3,5:00,11/30/2018
Antonina Shevchenko,Ji Yeon Kim,3,5:00,11/30/2018
Kevin Aguilar,Rick Glenn,3,5:00,11/30/2018
Joseph Benavidez,Alex Perez,1,4:19,11/30/2018
Maurice Greene,Michel Batista,1,2:14,11/30/2018
Leah Letson,Julija Stoliarenko,3,5:00,11/30/2018
Roosevelt Roberts,Darrell Horcher,1,4:50,11/30/2018
Tim Means,Ricky Rainey,1,1:18,11/30/2018
Raoni Barcelos,Chris Gutierrez,2,4:12,11/30/2018
Roy Nelson,Brendan Schaub,1,3:45,12/5/2009
Matt Hamill,Jon Jones,1,4:14,12/5/2009
Kevin Ferguson,Houston Alexander,3,5:00,12/5/2009
Frankie Edgar,Matt Veach,2,2:20,12/5/2009
Matt Mitrione,Marcus Jones,2,0:10,12/5/2009
James McSweeney,Darrill Schoonover,3,3:20,12/5/2009
Jon Madsen,Justin Wren,3,5:00,12/5/2009
Brian Stann,Rodney Wallace,3,5:00,12/5/2009
John Howard,Dennis Hallman,3,4:55,12/5/2009
Mark Bocek,Joe Brammer,1,3:36,12/5/2009
Martin Kampmann,Jake Ellenberger,2,1:40,6/1/2012
Michael Chiesa,Al Iaquinta,1,2:47,6/1/2012
Charles Oliveira,Jonathan Brookins,2,2:42,6/1/2012
Max Holloway,Pat Schilling,3,5:00,6/1/2012
Justin Lawrence,John Cofer,3,0:19,6/1/2012
Daron Cruickshank,Chris Tickle,3,5:00,6/1/2012
Myles Jury,Chris Saunders,1,4:03,6/1/2012
Sam Sicilia,Cristiano Marcello,2,2:53,6/1/2012
Joe Proctor,Jeremy Larsen,1,1:59,6/1/2012
Erik Perez,John Albert,1,4:18,6/1/2012
Justin Gaethje,Michael Johnson,2,4:48,7/7/2017
Jesse Taylor,Dhiego Lima,2,0:43,7/7/2017
Drakkar Klose,Marc Diakiese,3,5:00,7/7/2017
Jared Cannonier,Nick Roehrick,3,2:08,7/7/2017
Brad Tavares,Elias Theodorou,3,5:00,7/7/2017
Jordan Johnson,Marcel Fortuna,3,5:00,7/7/2017
Angela Hill,Ashley Yoder,3,5:00,7/7/2017
James Krause,Tom Gallicchio,3,5:00,7/7/2017
CB Dollaway,Ed Herman,3,5:00,7/7/2017
Tecia Torres,Juliana Lima,2,0:53,7/7/2017
