R_fighter,B_fighter,date,finish,finish_details
Kamaru Usman,Jorge Masvidal,7/11/2020,U-DEC,
Alexander Volkanovski,Max Holloway,7/11/2020,S-DEC,
Petr Yan,Jose Aldo,7/11/2020,KO/TKO,Punches
Jessica Andrade,Rose Namajunas,7/11/2020,S-DEC,
Amanda Ribas,Paige VanZant,7/11/2020,SUB,Armbar
Volkan Oezdemir,Jiri Prochazka,7/11/2020,KO/TKO,Punch
Elizeu Zaleski dos Santos,Muslim Salikhov,7/11/2020,S-DEC,
Makwan Amirkhani,Danny Henry,7/11/2020,SUB,Anaconda Choke
Leonardo Santos,Roman Bogatov,7/11/2020,U-DEC,
Marcin Tybura,Maxim Grishin,7/11/2020,U-DEC,
Raulian Paiva,Zhalgas Zhamagulov,7/11/2020,,
Karol Rosa,Vanessa Melo,7/11/2020,U-DEC,
Martin Day,Davey Grant,7/11/2020,KO/TKO,Punch
Dustin Poirier,Dan Hooker,6/27/2020,U-DEC,
Mike Perry,Mickey Gall,6/27/2020,U-DEC,
Brendan Allen,Kyle Daukaus,6/27/2020,U-DEC,
Gian Villante,Maurice Greene,6/27/2020,SUB,Arm Triangle
Luis Pena,Khama Worthy,6/27/2020,SUB,Guillotine Choke
Mara Romero Borella,Miranda Maverick,6/27/2020,,
Philipe Lins,Tanner Boser,6/27/2020,KO/TKO,Punches
Sean Woodson,Julian Erosa,6/27/2020,SUB,D'Arce Choke
Takashi Sato,Jason Witt,6/27/2020,KO/TKO,Punches
Kay Hansen,Jinh Yu Frey,6/27/2020,SUB,Armbar
Jordan Griffin,Youssef Zalal,6/27/2020,U-DEC,
Curtis Blaydes,Alexander Volkov,6/20/2020,U-DEC,
Josh Emmett,Shane Burgos,6/20/2020,U-DEC,
Raquel Pennington,Marion Reneau,6/20/2020,U-DEC,
Belal Muhammad,Lyman Good,6/20/2020,U-DEC,
Jim Miller,Roosevelt Roberts,6/20/2020,SUB,Armbar
Clay Guida,Bobby Green,6/20/2020,U-DEC,
Tecia Torres,Brianna Van Buren,6/20/2020,U-DEC,
Marc-Andre Barriault,Oskar Piechota,6/20/2020,KO/TKO,Punches
Cortney Casey,Gillian Robertson,6/20/2020,SUB,Rear Naked Choke
Frank Camacho,Justin Jaynes,6/20/2020,KO/TKO,Punches
Roxanne Modafferi,Lauren Murphy,6/20/2020,U-DEC,
Austin Hubbard,Max Rohskopf,6/20/2020,KO/TKO,
Jessica Eye,Cynthia Calvillo,6/13/2020,U-DEC,
Karl Roberson,Marvin Vettori,6/13/2020,SUB,Rear Naked Choke
Charles Rosa,Kevin Aguilar,6/13/2020,S-DEC,
Andre Fili,Charles Jourdain,6/13/2020,S-DEC,
Jordan Espinosa,Mark De La Rosa,6/13/2020,U-DEC,
Mariya Agapova,Hannah Cifers,6/13/2020,SUB,Rear Naked Choke
Merab Dvalishvili,Gustavo Lopez,6/13/2020,U-DEC,
Julia Avila,Gina Mazany,6/13/2020,KO/TKO,Punches
Tyson Nam,Zarrukh Adashev,6/13/2020,KO/TKO,Punch
Anthony Ivy,Christian Aguilera,6/13/2020,KO/TKO,Punches
Amanda Nunes,Felicia Spencer,6/6/2020,U-DEC,
Raphael Assuncao,Cody Garbrandt,6/6/2020,KO/TKO,Punch
Aljamain Sterling,Cory Sandhagen,6/6/2020,SUB,Rear Naked Choke
Neil Magny,Anthony Rocco Martin,6/6/2020,U-DEC,
Eddie Wineland,Sean O'Malley,6/6/2020,KO/TKO,Punch
Alex Caceres,Chase Hooper,6/6/2020,U-DEC,
Ian Heinisch,Gerald Meerschaert,6/6/2020,KO/TKO,Punch
Cody Stamann,Brian Kelleher,6/6/2020,U-DEC,
Charles Byrd,Maki Pitolo,6/6/2020,KO/TKO,Punches
Jussier Formiga,Alex Perez,6/6/2020,KO/TKO,Kick
Alonzo Menifield,Devin Clark,6/6/2020,U-DEC,
Evan Dunham,Herbert Burns,6/6/2020,SUB,Rear Naked Choke
Tyron Woodley,Gilbert Burns,5/30/2020,U-DEC,
Blagoy Ivanov,Augusto Sakai,5/30/2020,S-DEC,
Billy Quarantillo,Spike Carlyle,5/30/2020,U-DEC,
Roosevelt Roberts,Brok Weaver,5/30/2020,SUB,Rear Naked Choke
Mackenzie Dern,Hannah Cifers,5/30/2020,SUB,Kneebar
Katlyn Chookagian,Antonina Shevchenko,5/30/2020,U-DEC,
Daniel Rodriguez,Gabe Green,5/30/2020,U-DEC,
Jamahal Hill,Klidson Abreu,5/30/2020,KO/TKO,Knee
Tim Elliott,Brandon Royval,5/30/2020,SUB,Arm Triangle
Louis Smolka,Casey Kenney,5/30/2020,SUB,Guillotine Choke
Chris Gutierrez,Vince Morales,5/30/2020,KO/TKO,Kick
Alistair Overeem,Walt Harris,5/16/2020,KO/TKO,Punches
Claudia Gadelha,Angela Hill,5/16/2020,S-DEC,
Dan Ige,Edson Barboza,5/16/2020,S-DEC,
Krzysztof Jotko,Eryk Anders,5/16/2020,U-DEC,
Song Yadong,Marlon Vera,5/16/2020,U-DEC,
Miguel Baeza,Matt Brown,5/16/2020,KO/TKO,Punch
Kevin Holland,Anthony Hernandez,5/16/2020,KO/TKO,Knees
Giga Chikadze,Irwin Rivera,5/16/2020,U-DEC,
Nate Landwehr,Darren Elkins,5/16/2020,U-DEC,
Cortney Casey,Mara Romero Borella,5/16/2020,SUB,Armbar
Rodrigo Nascimento,Don'Tale Mayes,5/16/2020,SUB,Rear Naked Choke
Anthony Smith,Glover Teixeira,5/13/2020,KO/TKO,Punches
Ben Rothwell,Ovince Saint Preux,5/13/2020,S-DEC,
Alexander Hernandez,Drew Dober,5/13/2020,KO/TKO,Punches
Ricky Simon,Ray Borg,5/13/2020,S-DEC,
Andrei Arlovski,Philipe Lins,5/13/2020,U-DEC,
Michael Johnson,Thiago Moises,5/13/2020,SUB,Ankle Lock
Sijara Eubanks,Sarah Moras,5/13/2020,U-DEC,
Gabriel Benitez,Omar Morales,5/13/2020,U-DEC,
Hunter Azure,Brian Kelleher,5/13/2020,KO/TKO,Punch
Chase Sherman,Ike Villanueva,5/13/2020,KO/TKO,Elbow
Vicente Luque,Niko Price,5/9/2020,KO/TKO,Punches
Bryce Mitchell,Charles Rosa,5/9/2020,U-DEC,
Ryan Spann,Sam Alvey,5/9/2020,S-DEC,
Anthony Pettis,Donald Cerrone,5/9/2020,U-DEC,
Aleksei Oleinik,Fabricio Werdum,5/9/2020,S-DEC,
Carla Esparza,Michelle Waterson,5/9/2020,S-DEC,
Uriah Hall,Jacare Souza,5/9/2020,,
Tony Ferguson,Justin Gaethje,5/9/2020,KO/TKO,Punch
Henry Cejudo,Dominick Cruz,5/9/2020,KO/TKO,Knee
Francis Ngannou,Jairzinho Rozenstruik,5/9/2020,KO/TKO,Punch
Jeremy Stephens,Calvin Kattar,5/9/2020,KO/TKO,Elbow
Greg Hardy,Yorgan De Castro,5/9/2020,U-DEC,
