R_fighter,B_fighter,date,R_kd_bout,B_kd_bout,R_sig_str_landed_bout,B_sig_str_landed_bout,R_sig_str_attempted_bout,B_sig_str_attempted_bout,R_sig_str_pct_bout,B_sig_str_pct_bout,R_tot_str_landed_bout,B_tot_str_landed_bout,R_tot_str_attempted_bout,B_tot_str_attempted_bout,R_td_landed_bout,B_td_landed_bout,R_td_attempted_bout,B_td_attempted_bout,R_td_pct_bout,B_td_pct_bout,R_sub_attempts_bout,B_sub_attempts_bout,R_pass_bout,B_pass_bout,R_rev_bout,B_rev_bout
Tito Ortiz,Ken Shamrock,10/10/2006,0,0,18,0,29,0,.62,.0,38,7,52,7,1,0,1,0,1,.0,0,0,0,0,0,0
Carla Esparza,Rose Namajunas,12/12/2014,0,0,42,28,90,72,.46,.38,107,29,180,73,5,1,7,3,.71,.33,1,0,6,0,0,0
Nicco Montano,Roxanne Modafferi,12/ 1/2017,0,0,186,132,456,403,.40,.32,242,154,524,433,3,2,6,9,.50,.22,1,1,5,1,1,0
Jake Ellenberger,Stephen Thompson,7/12/2015,1,2,5,20,14,35,.35,.57,14,29,23,47,0,1,1,3,.0,.33,0,0,0,1,0,0
Rafael Dos Anjos,Kamaru Usman,11/30/2018,0,0,62,130,112,223,.55,.58,84,227,138,334,0,12,1,18,.0,.66,2,0,0,7,1,0
Roy Nelson,Brendan Schaub,12/ 5/2009,1,0,8,12,35,48,.22,.25,9,14,36,50,1,0,2,0,.50,.0,0,0,2,0,0,0
Jake Ellenberger,Martin Kampmann,6/ 1/2012,1,1,19,13,50,31,.38,.41,27,16,64,34,0,0,0,1,.0,.0,0,0,0,0,0,0
Michael Johnson,Justin Gaethje,7/ 7/2017,0,0,91,104,200,174,.45,.59,91,104,200,174,1,0,3,0,.33,.0,0,0,0,0,0,0
Michael Bisping,Jason Miller,12/ 3/2011,0,0,102,27,192,119,.53,.22,150,38,244,131,0,1,0,11,.0,.9,0,0,0,0,0,0
Roy Nelson,Matt Mitrione,12/15/2012,1,0,23,13,53,28,.43,.46,23,13,53,28,0,0,1,0,.0,.0,0,0,0,0,0,0
Rich Franklin,Ken Shamrock,4/ 9/2005,0,0,23,0,36,4,.63,.0,25,0,38,4,0,1,0,1,.0,1,0,2,0,0,0,0
Frankie Edgar,BJ Penn,7/ 6/2014,0,0,90,13,162,66,.55,.19,159,60,236,116,3,0,3,0,1,.0,0,0,3,0,0,0
